"Title","URL"
"Engineering for Slow Internet","https://brr.fyi/posts/engineering-for-slow-internet"
"Every mountain, building and tree shadow in the world simulated for any time","https://shademap.app/"
"Brave launches Search Ads in key markets after successful test phase","https://brave.com/blog/brave-search-ads-launch/"
"Intel's Anti-Upgrade Tricks Defeated with Kapton Tape","https://hackaday.com/2024/05/31/intels-anti-upgrade-tricks-defeated-with-kapton-tape/"
"Spotify won't open-source Car Thing, but starts refund process","https://arstechnica.com/gadgets/2024/05/spotify-wont-open-source-car-thing-but-starts-refund-process/"
"Global tourism is booming. These people would rather it wasn't","https://www.bbc.com/news/articles/cl55vdjv2j3o"
"“Imprecise” language models are smaller, speedier, and nearly as accurate","https://spectrum.ieee.org/1-bit-llm"
"Spots, stripes and more: Working out the logic of animal patterns","https://knowablemagazine.org/content/article/living-world/2024/animal-patterns-spots-stripes-explained-turing-mechanism"
"Show HN: Wadzilla. Play DOOM in Zork","https://github.com/scottvr/wadzilla/wiki"
"How to Think Like a Computer Scientist: Interactive Edition","https://levjj.github.io/thinkcspy/"
